State,YEAR,TYPE OF PRODUCER,GENERATION (Megawatthours)
Alabama,2001,"Combined Heat and Power, Electric Power",698012.0
Alabama,2001,"Combined Heat and Power, Industrial Power",5858084.0
Alabama,2001,"Electric Generators, Electric Utilities",118744284.0
Alabama,2001,"Electric Generators, Independent Power Producers",44733.0
Alabama,2001,Total Electric Power Industry,125345113.0
Alabama,2002,"Combined Heat and Power, Electric Power",1458859.0
Alabama,2002,"Combined Heat and Power, Industrial Power",5365181.0
Alabama,2002,"Electric Generators, Electric Utilities",123739223.0
Alabama,2002,"Electric Generators, Independent Power Producers",2357411.0
Alabama,2002,Total Electric Power Industry,132920675.0
Alabama,2003,"Combined Heat and Power, Electric Power",1310748.0
Alabama,2003,"Combined Heat and Power, Industrial Power",5266044.0
Alabama,2003,"Electric Generators, Electric Utilities",126845718.0
Alabama,2003,"Electric Generators, Independent Power Producers",4064709.0
Alabama,2003,Total Electric Power Industry,137487221.0
Alabama,2004,"Combined Heat and Power, Electric Power",1445677.0
Alabama,2004,"Combined Heat and Power, Industrial Power",5227447.0
Alabama,2004,"Electric Generators, Electric Utilities",124554606.0
Alabama,2004,"Electric Generators, Independent Power Producers",6127041.0
Alabama,2004,Total Electric Power Industry,137354770.0
Alabama,2005,"Combined Heat and Power, Electric Power",2173641.0
Alabama,2005,"Combined Heat and Power, Industrial Power",4650044.0
Alabama,2005,"Electric Generators, Electric Utilities",126303893.0
Alabama,2005,"Electric Generators, Independent Power Producers",4821000.0
Alabama,2005,Total Electric Power Industry,137948581.0
Alabama,2006,"Combined Heat and Power, Electric Power",4683180.0
Alabama,2006,"Combined Heat and Power, Industrial Power",4743685.0
Alabama,2006,"Electric Generators, Electric Utilities",124365182.0
Alabama,2006,"Electric Generators, Independent Power Producers",7103395.0
Alabama,2006,Total Electric Power Industry,140895442.0
Alabama,2007,"Combined Heat and Power, Electric Power",5705072.0
Alabama,2007,"Combined Heat and Power, Industrial Power",4646379.0
Alabama,2007,"Electric Generators, Electric Utilities",124273167.0
Alabama,2007,"Electric Generators, Independent Power Producers",9201656.0
Alabama,2007,Total Electric Power Industry,143826270.0
Alabama,2008,"Combined Heat and Power, Electric Power",2569428.0
Alabama,2008,"Combined Heat and Power, Industrial Power",4562424.0
Alabama,2008,"Electric Generators, Electric Utilities",128054894.0
Alabama,2008,"Electric Generators, Independent Power Producers",10683149.0
Alabama,2008,Total Electric Power Industry,145869896.0
Alabama,2009,"Combined Heat and Power, Electric Power",4605863.0
Alabama,2009,"Combined Heat and Power, Industrial Power",4565711.0
Alabama,2009,"Electric Generators, Electric Utilities",118781556.0
Alabama,2009,"Electric Generators, Independent Power Producers",15302425.0
Alabama,2009,Total Electric Power Industry,143255556.0
Alabama,2010,"Combined Heat and Power, Electric Power",4243149.0
Alabama,2010,"Combined Heat and Power, Industrial Power",4217849.0
Alabama,2010,"Electric Generators, Electric Utilities",122766491.0
Alabama,2010,"Electric Generators, Independent Power Producers",20923024.0
Alabama,2010,Total Electric Power Industry,152150512.0
Alabama,2011,"Combined Heat and Power, Electric Power",3773959.0
Alabama,2011,"Combined Heat and Power, Industrial Power",4306356.83
Alabama,2011,"Electric Generators, Electric Utilities",118834736.01
