YEAR,ENERGY SOURCE,GENERATION (Megawatthours)
2001,Coal,7615823762.0
2001,Geothermal,54962004.0
2001,Hydroelectric Conventional,867844194.0
2001,Natural Gas,2556516466.0
2001,Nuclear,3075305232.0
2001,Other,47625387.0
2001,Other Biomass,58192597.0
2001,Other Gases,36157892.0
2001,Petroleum,499520890.0
2001,Pumped Storage,-35293780.0
2001,Solar Thermal and Photovoltaic,2171020.0
2001,Wind,26949326.0
2001,Wood and Wood Derived Fuels,140799620.0
2002,Coal,7732521398.0
2002,Geothermal,57965243.0
2002,Hydroelectric Conventional,1057315311.0
2002,Natural Gas,2764023006.0
2002,Nuclear,3120256348.0
2002,Other,54107645.0
2002,Other Biomass,60174860.0
2002,Other Gases,45850741.0
2002,Petroleum,378269561.0
2002,Pumped Storage,-34971714.0
2002,Solar Thermal and Photovoltaic,2219324.0
2002,Wind,41417114.0
2002,Wood and Wood Derived Fuels,154660150.0
2003,Coal,7894946990.0
2003,Geothermal,57696920.0
2003,Hydroelectric Conventional,1103225292.0
2003,Natural Gas,2599630175.0
2003,Nuclear,3054930780.0
2003,Other,56178049.0
2003,Other Biomass,63248009.0
2003,Other Gases,62400086.0
2003,Petroleum,477622559.0
2003,Pumped Storage,-34140260.0
2003,Solar Thermal and Photovoltaic,2136004.0
2003,Wind,44749874.0
2003,Wood and Wood Derived Fuels,150116400.0
2004,Coal,7913202205.0
2004,Geothermal,59243898.0
2004,Hydroelectric Conventional,1073669264.0
2004,Natural Gas,2840400089.0
2004,Nuclear,3154113548.0
2004,Other,56929637.0
2004,Other Biomass,61682301.0
2004,Other Gases,61009705.0
2004,Petroleum,484580260.0
2004,Pumped Storage,-33952840.0
2004,Solar Thermal and Photovoltaic,2300628.0
2004,Wind,56574977.0
2004,Wood and Wood Derived Fuels,152467517.0
2005,Coal,8051492196.0
2005,Geothermal,58766978.0
2005,Hydroelectric Conventional,1081285032.0
2005,Natural Gas,3043841037.0
2005,Nuclear,3127945460.0
2005,Other,51284219.0
2005,Other Biomass,61681589.0
2005,Other Gases,53856592.0
2005,Petroleum,488900060.0
2005,Pumped Storage,-26231150.0
2005,Solar Thermal and Photovoltaic,2201173.0
2005,Wind,71242207.0
2005,Wood and Wood Derived Fuels,155425656.0
2006,Coal,7962044547.0
2006,Geothermal,58272114.0
2006,Hydroelectric Conventional,1156985655.0
2006,Natural Gas,3265763085.0
2006,Nuclear,3148874544.0
2006,Other,51897603.0
2006,Other Biomass,64394129.0
2006,Other Gases,56707221.0
2006,Petroleum,256665653.0
2006,Pumped Storage,-26231368.0
2006,Solar Thermal and Photovoltaic,2030816.0
2006,Wind,106356558.0
2006,Wood and Wood Derived Fuels,155048385.0
2007,Coal,8065822339.0
2007,Geothermal,58548852.0
2007,Hydroelectric Conventional,990039886.0
2007,Natural Gas,3586359174.0
2007,Nuclear,3225699012.0
2007,Other,48924540.0
2007,Other Biomass,66098215.0
2007,Other Gases,53813418.0
2007,Petroleum,262955883.0
2007,Pumped Storage,-27585408.0
2007,Solar Thermal and Photovoltaic,2447170.0
2007,Wind,137799710.0
2007,Wood and Wood Derived Fuels,156056124.0
2008,Coal,7943204995.0
2008,Geothermal,59359904.0
2008,Hydroelectric Conventional,1019325580.0
