State,YEAR,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
Alabama,2001,"Combined Heat and Power, Electric Power",Coal,267676.0
Alabama,2001,"Combined Heat and Power, Electric Power",Natural Gas,210170.0
Alabama,2001,"Combined Heat and Power, Electric Power",Petroleum,2730.0
Alabama,2001,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,217436.0
Alabama,2001,"Combined Heat and Power, Industrial Power",Coal,446862.0
Alabama,2001,"Combined Heat and Power, Industrial Power",Natural Gas,1073116.0
Alabama,2001,"Combined Heat and Power, Industrial Power",Other,7812.0
Alabama,2001,"Combined Heat and Power, Industrial Power",Other Biomass,17107.0
Alabama,2001,"Combined Heat and Power, Industrial Power",Other Gases,189147.0
Alabama,2001,"Combined Heat and Power, Industrial Power",Petroleum,169219.0
Alabama,2001,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,3954821.0
Alabama,2001,"Electric Generators, Electric Utilities",Coal,71483576.0
Alabama,2001,"Electric Generators, Electric Utilities",Hydroelectric Conventional,8356382.0
Alabama,2001,"Electric Generators, Electric Utilities",Natural Gas,8284663.0
Alabama,2001,"Electric Generators, Electric Utilities",Nuclear,30357063.0
Alabama,2001,"Electric Generators, Electric Utilities",Petroleum,262600.0
Alabama,2001,"Electric Generators, Independent Power Producers",Natural Gas,44733.0
Alabama,2001,Total Electric Power Industry,Coal,72198114.0
Alabama,2001,Total Electric Power Industry,Hydroelectric Conventional,8356382.0
Alabama,2001,Total Electric Power Industry,Natural Gas,9612682.0
Alabama,2001,Total Electric Power Industry,Nuclear,30357063.0
Alabama,2001,Total Electric Power Industry,Other,7812.0
Alabama,2001,Total Electric Power Industry,Other Biomass,17107.0
Alabama,2001,Total Electric Power Industry,Other Gases,189147.0
Alabama,2001,Total Electric Power Industry,Petroleum,434549.0
Alabama,2001,Total Electric Power Industry,Wood and Wood Derived Fuels,4172257.0
Alabama,2002,"Combined Heat and Power, Electric Power",Coal,218419.0
Alabama,2002,"Combined Heat and Power, Electric Power",Natural Gas,912426.0
Alabama,2002,"Combined Heat and Power, Electric Power",Other,118289.0
Alabama,2002,"Combined Heat and Power, Electric Power",Petroleum,435.0
Alabama,2002,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,209290.0
Alabama,2002,"Combined Heat and Power, Industrial Power",Coal,192436.0
Alabama,2002,"Combined Heat and Power, Industrial Power",Natural Gas,1414055.0
