State,YEAR,ENERGY SOURCE,GENERATION (Megawatthours)
Alabama,2001,Coal,144396228.0
Alabama,2001,Hydroelectric,16712764.0
Alabama,2001,Natural Gas,19225364.0
Alabama,2001,Nuclear,60714126.0
Alabama,2001,Other,15624.0
Alabama,2001,Other Biomass,34214.0
Alabama,2001,Other Gases,378294.0
Alabama,2001,Petroleum,869098.0
Alabama,2001,Wood,8344514.0
Alabama,2002,Coal,144083332.0
Alabama,2002,Hydroelectric,17649574.0
Alabama,2002,Natural Gas,31808129.0
Alabama,2002,Nuclear,63713852.0
Alabama,2002,Other,245490.0
Alabama,2002,Other Biomass,36802.0
Alabama,2002,Other Gases,225082.0
Alabama,2002,Petroleum,624097.0
Alabama,2002,Wood,7454988.0
Alabama,2003,Coal,153392784.0
Alabama,2003,Hydroelectric,25329734.0
Alabama,2003,Natural Gas,24487194.0
Alabama,2003,Nuclear,63353906.0
Alabama,2003,Other,51086.0
Alabama,2003,Other Biomass,47952.0
Alabama,2003,Other Gases,340740.0
Alabama,2003,Petroleum,673286.0
Alabama,2003,Wood,7297766.0
Alabama,2004,Coal,149663248.0
Alabama,2004,Hydroelectric,21252446.0
Alabama,2004,Natural Gas,31954041.0
Alabama,2004,Nuclear,63271578.0
Alabama,2004,Other,55832.0
Alabama,2004,Other Biomass,45752.0
Alabama,2004,Other Gases,363874.0
Alabama,2004,Petroleum,590054.0
Alabama,2004,Wood,7512712.0
Alabama,2005,Coal,156256911.0
Alabama,2005,Hydroelectric,20289162.0
Alabama,2005,Natural Gas,27738904.0
Alabama,2005,Nuclear,63388446.0
Alabama,2005,Other,50184.0
Alabama,2005,Other Biomass,32826.0
Alabama,2005,Other Gases,213728.0
Alabama,2005,Petroleum,666220.0
Alabama,2005,Wood,7260773.0
Alabama,2006,Coal,156217336.0
Alabama,2006,Hydroelectric,14503572.0
Alabama,2006,Natural Gas,38814444.0
Alabama,2006,Nuclear,63822192.0
Alabama,2006,Other,41866.0
Alabama,2006,Other Biomass,38906.0
Alabama,2006,Other Gases,262216.0
Alabama,2006,Petroleum,360334.0
Alabama,2006,Wood,7730022.0
Alabama,2007,Coal,155987523.0
Alabama,2007,Hydroelectric,8272226.0
Alabama,2007,Natural Gas,46463550.0
Alabama,2007,Nuclear,68650254.0
Alabama,2007,Other,7166.0
Alabama,2007,Other Biomass,33476.0
Alabama,2007,Other Gases,356736.0
Alabama,2007,Petroleum,313847.0
Alabama,2007,Wood,7567764.0
Alabama,2008,Coal,149209296.0
Alabama,2008,Hydroelectric,12272294.0
Alabama,2008,Natural Gas,44725837.0
Alabama,2008,Nuclear,77985282.0
Alabama,2008,Other,16446.0
Alabama,2008,Other Biomass,67396.0
Alabama,2008,Other Gases,407478.0
Alabama,2008,Petroleum,408527.0
Alabama,2008,Wood,6647233.0
Alabama,2009,Coal,111217446.0
Alabama,2009,Hydroelectric,25070746.0
Alabama,2009,Natural Gas,63234169.0
Alabama,2009,Nuclear,79432408.0
Alabama,2009,Other,748628.0
Alabama,2009,Other Biomass,28964.0
Alabama,2009,Other Gases,269458.0
Alabama,2009,Petroleum,438550.0
Alabama,2009,Wood,6070750.0
Alabama,2010,Coal,126100820.0
Alabama,2010,Hydroelectric,17408508.0
Alabama,2010,Natural Gas,78470034.0
Alabama,2010,Nuclear,75881642.0
Alabama,2010,Other,732894.0
Alabama,2010,Other Biomass,23065.0
Alabama,2010,Other Gases,553450.0
Alabama,2010,Petroleum,399708.0
Alabama,2010,Wood,4730903.0
Alabama,2011,Coal,113614706.08
Alabama,2011,Hydroelectric,17767196.02
Alabama,2011,Natural Gas,95362107.92999999
Alabama,2011,Nuclear,78712244.0
Alabama,2011,Other,765005.76
Alabama,2011,Other Biomass,19796.61
Alabama,2011,Other Gases,583068.2
Alabama,2011,Petroleum,240768.08
Alabama,2011,Wood,5613527.2
Alabama,2012,Coal,91213839.57
Alabama,2012,Hydroelectric,14870446.04
Alabama,2012,Natural Gas,111410000.92999999
Alabama,2012,Nuclear,81682424.0
Alabama,2012,Other,453086.32
Alabama,2012,Other Biomass,15578.14
Alabama,2012,Other Gases,355304.32
Alabama,2012,Petroleum,219166.4
Alabama,2012,Wood,5537529.81
Alabama,2013,Coal,94100967.85
Alabama,2013,Hydroelectric,25798356.02
Alabama,2013,Natural Gas,93172770.51
Alabama,2013,Nuclear,81632270.0
Alabama,2013,Other,6593.46
Alabama,2013,Other Biomass,42380.270000000004
Alabama,2013,Other Gases,535471.14
Alabama,2013,Petroleum,148261.98
Alabama,2013,Wood,5708776.59
Alabama,2014,Coal,94611882.95
Alabama,2014,Hydroelectric,19368348.080000002
Alabama,2014,Natural Gas,96226196.71
Alabama,2014,Nuclear,82487378.0
Alabama,2014,Other,318.29999999999995
Alabama,2014,Other Biomass,24736.3
Alabama,2014,Other Gases,411754.24
Alabama,2014,Petroleum,230034.63999999998
Alabama,2014,Wood,6564476.92
Alabama,2015,Coal,82820858.0
Alabama,2015,Hydroelectric,19723610.0
Alabama,2015,Natural Gas,111688910.0
Alabama,2015,Nuclear,83902764.0
Alabama,2015,Other,0.0
Alabama,2015,Other Biomass,87262.0
Alabama,2015,Other Gases,71726.0
Alabama,2015,Petroleum,168418.0
Alabama,2015,Wood,6491307.0
Alabama,2016,Coal,68516811.0
Alabama,2016,Hydroelectric,13969606.0
Alabama,2016,Natural Gas,115607236.0
Alabama,2016,Nuclear,79803758.0
Alabama,2016,Other,0.0
Alabama,2016,Other Biomass,76218.0
Alabama,2016,Other Gases,48104.0
Alabama,2016,Petroleum,91665.0
Alabama,2016,Solar/Photovoltaic,62522.0
Alabama,2016,Wood,6594270.0
Alabama,2017,Coal,62880803.0
Alabama,2017,Hydroelectric,18474644.0
Alabama,2017,Natural Gas,105967324.0
Alabama,2017,Nuclear,85303946.0
Alabama,2017,Other,8.0
Alabama,2017,Other Biomass,82704.0
Alabama,2017,Other Gases,17660.0
Alabama,2017,Petroleum,71416.0
Alabama,2017,Solar/Photovoltaic,361374.0
Alabama,2017,Wood,6768616.0
Alabama,2018,Coal,63555041.0
Alabama,2018,Hydroelectric,22286280.0
Alabama,2018,Natural Gas,117600838.0
Alabama,2018,Nuclear,78925654.0
Alabama,2018,Other,-96.0
Alabama,2018,Other Biomass,75346.0
Alabama,2018,Other Gases,9610.0
Alabama,2018,Petroleum,131408.0
Alabama,2018,Solar/Photovoltaic,714501.0
Alabama,2018,Wood,6817414.0
Alabama,2019,Coal,53310133.0
Alabama,2019,Hydroelectric,22810430.0
Alabama,2019,Natural Gas,114394740.0
Alabama,2019,Nuclear,87313724.0
Alabama,2019,Other,-116.0
Alabama,2019,Other Biomass,80966.0
Alabama,2019,Other Gases,5320.0
Alabama,2019,Petroleum,39839.0
Alabama,2019,Solar/Photovoltaic,769880.0
