number,name,tier,tier_name,state,par_median,k_median,mr_kq5_pq1
1,Abilene Christian University,6,Selective private,TX,101000,40100,0.014363836
2,Adams State University,5,Selective public,CO,67200,34100,0.018844681
3,Adelphi University,6,Selective private,NY,96300,50700,0.032585073
4,Adrian College,6,Selective private,MI,88500,40300,0.0095646288
5,Agnes Scott College,4,Highly selective private,GA,97200,38900,0.014744159
6,Alabama Agricultural & Mechanical University,5,Selective public,AL,44500,32900,0.0421931
7,Albany State University,5,Selective public,GA,43800,31900,0.025794942
8,Albertus Magnus College,6,Selective private,CT,68600,43400,0.055204768
9,Albion College,6,Selective private,MI,120700,48900,0.0068131848
10,Albright College,6,Selective private,PA,89000,47300,0.013705797
11,Alderson Broaddus University,6,Selective private,WV,59500,37800,0.027365765
12,Alfred University,6,Selective private,NY,90800,44600,0.014770933
13,Allegheny College,6,Selective private,PA,102800,52500,0.013434455
14,Alma College,6,Selective private,MI,98200,48000,0.011659105
15,Alvernia University,6,Selective private,PA,84300,41800,0.021852216
16,Alverno College,6,Selective private,WI,65600,33200,0.026607819
17,American International College,6,Selective private,MA,68700,41900,0.026896371
18,American University ,4,Highly selective private,DC,135700,59100,0.012844238
19,Amherst College,2,Other elite schools (public and private),MA,181300,69300,0.019616831
20,"Anderson University of Anderson, IN",6,Selective private,IN,88400,34900,0.0071356744
21,Andrews University,6,Selective private,MI,73900,37200,0.02404573
22,Angelo State University,5,Selective public,TX,68400,38500,0.021094922
23,Anna Maria College,6,Selective private,MA,90400,40700,0.01695396
24,Appalachian State University,5,Selective public,NC,105900,39100,0.0054004826
25,Aquinas College,6,Selective private,MI,94800,39300,0.0058400971
26,Arcadia University,6,Selective private,PA,92200,44900,0.019300634
27,Arizona State And Northern Arizona University And University Of Arizona,5,Selective public,AZ,110700,46300,0.015779939
28,Arkansas State University,5,Selective public,AR,60800,34500,0.023571217
29,Arkansas Tech University,5,Selective public,AR,63200,35100,0.021171754
30,Armstrong Atlantic State University,5,Selective public,GA,76000,34600,0.018230883
